method,property,component,correlation,p_value,type,n_samples,abs_correlation
sax,binary_dili,PC74,0.17819270741150897,0.025089548715903093,correlation,158,0.17819270741150897
sax,binary_dili,PC80,0.17793714981276565,0.02530227190138022,correlation,158,0.17793714981276565
sax,molecular_weight,PC157,-0.17767917532018274,0.026483221336080554,correlation,156,0.17767917532018274
sax,binary_dili,PC35,-0.17726711239346393,0.02586735666686069,correlation,158,0.17726711239346393
sax,binary_dili,PC135,0.17659530138536308,0.026444753055935296,correlation,158,0.17659530138536308
sax,hepatotoxicity_boxed_warning,PC24,-0.17569686657403938,0.02723413225886589,correlation,158,0.17569686657403938
sax,binary_dili,PC243,0.17497096175020088,0.02788655012976734,correlation,158,0.17497096175020088
sax,binary_dili,PC81,0.17486920138419856,0.027979066720889657,correlation,158,0.17486920138419856
sax,hepatotoxicity_boxed_warning,PC116,0.17465063457728108,0.02817866533098817,correlation,158,0.17465063457728108
sax,logp,PC40,-0.17421046341359428,0.03611162871437555,correlation,145,0.17421046341359428
custom,logp,PC3,-0.17405762020546056,0.03627770818159583,correlation,145,0.17405762020546056
catch22,binary_dili,PC8,0.1739747469975965,0.02880360314793726,correlation,158,0.1739747469975965
catch22,hepatotoxicity_boxed_warning,PC3,0.17364349043265498,0.029114179604067394,correlation,158,0.17364349043265498
sax,molecular_weight,PC28,-0.17361385008483005,0.030197939975993158,correlation,156,0.17361385008483005
sax,molecular_weight,PC196,-0.17324629889946036,0.030554647706470206,correlation,156,0.17324629889946036
fourier,molecular_weight,PC14,-0.17267699905671585,0.0311142234519228,correlation,156,0.17267699905671585
sax,logp,PC97,0.1726399305967572,0.037849094019885156,correlation,145,0.1726399305967572
fourier,hepatotoxicity_boxed_warning,PC3,0.1726335563239922,0.030078737920198804,correlation,158,0.1726335563239922
sax,binary_dili,PC14,0.1724858225402216,0.030222089435438405,correlation,158,0.1724858225402216
sax,binary_dili,PC233,0.17241339192570826,0.03029258364924745,correlation,158,0.17241339192570826
sax,molecular_weight,PC40,-0.17235010757145974,0.031439449947773944,correlation,156,0.17235010757145974
sax,binary_dili,PC15,0.17044711722004174,0.032260445701351545,correlation,158,0.17044711722004174
custom,binary_dili,PC1,0.16918721541939227,0.033577558533760536,correlation,158,0.16918721541939227
sax,molecular_weight,PC9,0.16906287227520397,0.034873539653288974,correlation,156,0.16906287227520397
sax,binary_dili,PC44,0.16895367081073565,0.033826646734730084,correlation,158,0.16895367081073565
sax,binary_dili,PC116,0.16851093715767226,0.03430314261526575,correlation,158,0.16851093715767226
catch22,binary_dili,PC9,0.16796292716229153,0.03490079861151599,correlation,158,0.16796292716229153
fourier,binary_dili,PC13,-0.16747295679312557,0.03544258978845311,correlation,158,0.16747295679312557
sax,molecular_weight,PC5,-0.16651869463130975,0.03774444598035187,correlation,156,0.16651869463130975
sax,molecular_weight,PC249,0.16638266954637287,0.037903387881133954,correlation,156,0.16638266954637287
sax,binary_dili,PC39,0.16603127912237078,0.037078130482866234,correlation,158,0.16603127912237078
sax,binary_dili,PC228,0.16596185953258413,0.037158464950180985,correlation,158,0.16596185953258413
sax,molecular_weight,PC11,-0.16577732681969218,0.03861756854239031,correlation,156,0.16577732681969218
sax,logp,PC203,-0.165407035964943,0.04678482348717141,correlation,145,0.165407035964943
sax,logp,PC25,-0.16531050533889857,0.04691503745854428,correlation,145,0.16531050533889857
sax,hepatotoxicity_boxed_warning,PC231,0.1650171533640323,0.03826637522700979,correlation,158,0.1650171533640323
sax,molecular_weight,PC58,-0.16443781678879382,0.04023824081290854,correlation,156,0.16443781678879382
sax,binary_dili,PC3,-0.16438398127459708,0.03902439462232298,correlation,158,0.16438398127459708
sax,hepatotoxicity_boxed_warning,PC224,-0.1628866970839798,0.040867284649766286,correlation,158,0.1628866970839798
fourier,molecular_weight,PC12,-0.162293071854062,0.042951931426336604,correlation,156,0.162293071854062
sax,hepatotoxicity_boxed_warning,PC248,0.16228845531313726,0.04162376434803702,correlation,158,0.16228845531313726
sax,molecular_weight,PC37,-0.16177204178683324,0.043633821056011726,correlation,156,0.16177204178683324
fourier,binary_dili,PC9,-0.16055975660836,0.04387597524019164,correlation,158,0.16055975660836
sax,hepatotoxicity_boxed_warning,PC205,0.1595421711603478,0.0452487413559002,correlation,158,0.1595421711603478
sax,hepatotoxicity_boxed_warning,PC130,0.15932527276625208,0.045545935800867014,correlation,158,0.15932527276625208
sax,binary_dili,PC63,0.15929419874754486,0.04558864657012678,correlation,158,0.15929419874754486
custom,binary_dili,PC7,0.15910804220314162,0.04584521638067698,correlation,158,0.15910804220314162
sax,binary_dili,PC178,0.15896701613331507,0.04604038621999346,correlation,158,0.15896701613331507
sax,binary_dili,PC212,0.15869517240649442,0.046418553791853966,correlation,158,0.15869517240649442
catch22,molecular_weight,PC11,0.15773153721147548,0.04923509906099565,correlation,156,0.15773153721147548
sax,binary_dili,PC22,-0.15669988349736183,0.049274235818149756,correlation,158,0.15669988349736183
sax,binary_dili,PC172,0.15635913977926438,0.049776213305714655,correlation,158,0.15635913977926438
